but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
but the staff was so horrible to us . [O] [S] [A]	[O] horrible [S] bad [A] staff
but the staff was so horrible to us . [A] [O] [S]	[A] staff [O] horrible [S] bad
but the staff was so horrible to us . [A] [S] [O]	[A] staff [S] bad [O] horrible
but the staff was so horrible to us . [S] [O] [A]	[S] bad [O] horrible [A] staff
to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora . [O] [A] [S]	[O] above average [A] food [S] good
to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora . [O] [S] [A]	[O] above average [S] good [A] food
to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora . [A] [O] [S]	[A] food [O] above average [S] good
to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora . [A] [S] [O]	[A] food [S] good [O] above average
to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora . [S] [O] [A]	[S] good [O] above average [A] food
the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not . [O] [A] [S]	[O] exceptional [A] food [S] good [SSEP] [O] capable [A] kitchen [S] good
the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not . [O] [S] [A]	[O] exceptional [S] good [A] food [SSEP] [O] capable [S] good [A] kitchen
the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not . [A] [O] [S]	[A] food [O] exceptional [S] good [SSEP] [A] kitchen [O] capable [S] good
the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not . [A] [S] [O]	[A] food [S] good [O] exceptional [SSEP] [A] kitchen [S] good [O] capable
the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not . [S] [O] [A]	[S] good [O] exceptional [A] food [SSEP] [S] good [O] capable [A] kitchen
our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) . [O] [A] [S]	[O] favorite [A] orrechiete with sausage and chicken [S] good [SSEP] [O] kind [A] waiters [S] good
our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) . [O] [S] [A]	[O] favorite [S] good [A] orrechiete with sausage and chicken [SSEP] [O] kind [S] good [A] waiters
