judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
judging from previous posts this used to be a good place , but not any longer . [O] [S] [A]	[O] good [S] bad [A] place
judging from previous posts this used to be a good place , but not any longer . [A] [S] [O]	[A] place [S] bad [O] good
judging from previous posts this used to be a good place , but not any longer . [S] [O] [A]	[S] bad [O] good [A] place
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [O] [A] [S]	[O] rude [A] staff [S] bad
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [O] [S]	[A] staff [O] rude [S] bad
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [O] [S] [A]	[O] rude [S] bad [A] staff
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [S] [O]	[A] staff [S] bad [O] rude
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [S] [O] [A]	[S] bad [O] rude [A] staff
the food was lousy - too sweet or too salty and the portions tiny . [O] [A] [S]	[O] lousy [A] food [S] bad [SSEP] [O] too sweet [A] food [S] bad [SSEP] [O] too salty [A] food [S] bad [SSEP] [O] tiny [A] portions [S] bad
the food was lousy - too sweet or too salty and the portions tiny . [A] [O] [S]	[A] food [O] lousy [S] bad [SSEP] [A] food [O] too sweet [S] bad [SSEP] [A] food [O] too salty [S] bad [SSEP] [A] portions [O] tiny [S] bad
the food was lousy - too sweet or too salty and the portions tiny . [O] [S] [A]	[O] lousy [S] bad [A] food [SSEP] [O] too sweet [S] bad [A] food [SSEP] [O] too salty [S] bad [A] food [SSEP] [O] tiny [S] bad [A] portions
the food was lousy - too sweet or too salty and the portions tiny . [A] [S] [O]	[A] food [S] bad [O] lousy [SSEP] [A] food [S] bad [O] too sweet [SSEP] [A] food [S] bad [O] too salty [SSEP] [A] portions [S] bad [O] tiny
the food was lousy - too sweet or too salty and the portions tiny . [S] [O] [A]	[S] bad [O] lousy [A] food [SSEP] [S] bad [O] too sweet [A] food [SSEP] [S] bad [O] too salty [A] food [SSEP] [S] bad [O] tiny [A] portions
avoid this place ! [O] [A] [S]	[O] avoid [A] place [S] bad
avoid this place ! [A] [O] [S]	[A] place [O] avoid [S] bad
avoid this place ! [O] [S] [A]	[O] avoid [S] bad [A] place
avoid this place ! [A] [S] [O]	[A] place [S] bad [O] avoid
avoid this place ! [S] [O] [A]	[S] bad [O] avoid [A] place
i have eaten at saul , many times , the food is always consistently , outrageously good . [O] [A] [S]	[O] good [A] food [S] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [O] [S]	[A] food [O] good [S] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [O] [S] [A]	[O] good [S] good [A] food
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [S] [O]	[A] food [S] good [O] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [S] [O] [A]	[S] good [O] good [A] food
saul is the best restaurant on smith street and in brooklyn . [O] [A] [S]	[O] best [A] saul [S] good
saul is the best restaurant on smith street and in brooklyn . [A] [O] [S]	[A] saul [O] best [S] good
saul is the best restaurant on smith street and in brooklyn . [O] [S] [A]	[O] best [S] good [A] saul
saul is the best restaurant on smith street and in brooklyn . [A] [S] [O]	[A] saul [S] good [O] best
saul is the best restaurant on smith street and in brooklyn . [S] [O] [A]	[S] good [O] best [A] saul
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [O] [A] [S]	[O] out of this world [A] foie gras terrine with figs [S] good [SSEP] [O] amazing [A] duck confit [S] good
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [O] [S]	[A] foie gras terrine with figs [O] out of this world [S] good [SSEP] [A] duck confit [O] amazing [S] good
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [O] [S] [A]	[O] out of this world [S] good [A] foie gras terrine with figs [SSEP] [O] amazing [S] good [A] duck confit
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [S] [O]	[A] foie gras terrine with figs [S] good [O] out of this world [SSEP] [A] duck confit [S] good [O] amazing
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [S] [O] [A]	[S] good [O] out of this world [A] foie gras terrine with figs [SSEP] [S] good [O] amazing [A] duck confit
the wine list is interesting and has many good values . [O] [A] [S]	[O] interesting [A] wine list [S] good [SSEP] [O] good values [A] wine list [S] good
the wine list is interesting and has many good values . [A] [O] [S]	[A] wine list [O] interesting [S] good [SSEP] [A] wine list [O] good values [S] good
the wine list is interesting and has many good values . [O] [S] [A]	[O] interesting [S] good [A] wine list [SSEP] [O] good values [S] good [A] wine list
the wine list is interesting and has many good values . [A] [S] [O]	[A] wine list [S] good [O] interesting [SSEP] [A] wine list [S] good [O] good values
the wine list is interesting and has many good values . [S] [O] [A]	[S] good [O] interesting [A] wine list [SSEP] [S] good [O] good values [A] wine list
i was very disappointed with this restaurant . [O] [A] [S]	[O] disappointed [A] restaurant [S] bad
i was very disappointed with this restaurant . [A] [O] [S]	[A] restaurant [O] disappointed [S] bad
i was very disappointed with this restaurant . [O] [S] [A]	[O] disappointed [S] bad [A] restaurant
i was very disappointed with this restaurant . [A] [S] [O]	[A] restaurant [S] bad [O] disappointed
i was very disappointed with this restaurant . [S] [O] [A]	[S] bad [O] disappointed [A] restaurant
food was okay , nothing great . [O] [A] [S]	[O] okay [A] food [S] ok [SSEP] [O] nothing great [A] food [S] ok
food was okay , nothing great . [A] [O] [S]	[A] food [O] okay [S] ok [SSEP] [A] food [O] nothing great [S] ok
food was okay , nothing great . [O] [S] [A]	[O] okay [S] ok [A] food [SSEP] [O] nothing great [S] ok [A] food
food was okay , nothing great . [A] [S] [O]	[A] food [S] ok [O] okay [SSEP] [A] food [S] ok [O] nothing great
food was okay , nothing great . [S] [O] [A]	[S] ok [O] okay [A] food [SSEP] [S] ok [O] nothing great [A] food
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [O] [A] [S]	[O] dry [A] chow fun [S] bad [SSEP] [O] greasy [A] pork shu mai [S] bad
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [O] [S]	[A] chow fun [O] dry [S] bad [SSEP] [A] pork shu mai [O] greasy [S] bad
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [O] [S] [A]	[O] dry [S] bad [A] chow fun [SSEP] [O] greasy [S] bad [A] pork shu mai
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [S] [O]	[A] chow fun [S] bad [O] dry [SSEP] [A] pork shu mai [S] bad [O] greasy
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [S] [O] [A]	[S] bad [O] dry [A] chow fun [SSEP] [S] bad [O] greasy [A] pork shu mai
i/we will never go back to this place again . [O] [A] [S]	[O] never go back [A] place [S] bad
i/we will never go back to this place again . [A] [O] [S]	[A] place [O] never go back [S] bad
i/we will never go back to this place again . [O] [S] [A]	[O] never go back [S] bad [A] place
i/we will never go back to this place again . [A] [S] [O]	[A] place [S] bad [O] never go back
i/we will never go back to this place again . [S] [O] [A]	[S] bad [O] never go back [A] place
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [O] [A] [S]	[O] devine [A] service [S] good [SSEP] [O] sensual [A] oysters [S] good
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [A] [O] [S]	[A] service [O] devine [S] good [SSEP] [A] oysters [O] sensual [S] good
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [O] [S] [A]	[O] devine [S] good [A] service [SSEP] [O] sensual [S] good [A] oysters
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [A] [S] [O]	[A] service [S] good [O] devine [SSEP] [A] oysters [S] good [O] sensual
service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! [S] [O] [A]	[S] good [O] devine [A] service [SSEP] [S] good [O] sensual [A] oysters
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [O] [A] [S]	[O] excellent [A] service [S] good [SSEP] [O] cool [A] decor [S] good [SSEP] [O] understated [A] decor [S] good
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [O] [S]	[A] service [O] excellent [S] good [SSEP] [A] decor [O] cool [S] good [SSEP] [A] decor [O] understated [S] good
