judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
judging from previous posts this used to be a good place , but not any longer . [O] [S] [A]	[O] good [S] bad [A] place
judging from previous posts this used to be a good place , but not any longer . [A] [S] [O]	[A] place [S] bad [O] good
judging from previous posts this used to be a good place , but not any longer . [S] [O] [A]	[S] bad [O] good [A] place
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [O] [S]	[A] staff [O] rude [S] bad
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [O] [A] [S]	[O] rude [A] staff [S] bad
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [O] [S] [A]	[O] rude [S] bad [A] staff
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [S] [O]	[A] staff [S] bad [O] rude
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [S] [O] [A]	[S] bad [O] rude [A] staff
the food was lousy - too sweet or too salty and the portions tiny . [A] [O] [S]	[A] food [O] lousy [S] bad [SSEP] [A] food [O] too sweet [S] bad [SSEP] [A] food [O] too salty [S] bad [SSEP] [A] portions [O] tiny [S] bad
the food was lousy - too sweet or too salty and the portions tiny . [O] [A] [S]	[O] lousy [A] food [S] bad [SSEP] [O] too sweet [A] food [S] bad [SSEP] [O] too salty [A] food [S] bad [SSEP] [O] tiny [A] portions [S] bad
the food was lousy - too sweet or too salty and the portions tiny . [O] [S] [A]	[O] lousy [S] bad [A] food [SSEP] [O] too sweet [S] bad [A] food [SSEP] [O] too salty [S] bad [A] food [SSEP] [O] tiny [S] bad [A] portions
the food was lousy - too sweet or too salty and the portions tiny . [A] [S] [O]	[A] food [S] bad [O] lousy [SSEP] [A] food [S] bad [O] too sweet [SSEP] [A] food [S] bad [O] too salty [SSEP] [A] portions [S] bad [O] tiny
the food was lousy - too sweet or too salty and the portions tiny . [S] [O] [A]	[S] bad [O] lousy [A] food [SSEP] [S] bad [O] too sweet [A] food [SSEP] [S] bad [O] too salty [A] food [SSEP] [S] bad [O] tiny [A] portions
avoid this place ! [A] [O] [S]	[A] place [O] avoid [S] bad
avoid this place ! [O] [A] [S]	[O] avoid [A] place [S] bad
avoid this place ! [O] [S] [A]	[O] avoid [S] bad [A] place
avoid this place ! [A] [S] [O]	[A] place [S] bad [O] avoid
avoid this place ! [S] [O] [A]	[S] bad [O] avoid [A] place
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [O] [S]	[A] food [O] good [S] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [O] [A] [S]	[O] good [A] food [S] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [O] [S] [A]	[O] good [S] good [A] food
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [S] [O]	[A] food [S] good [O] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [S] [O] [A]	[S] good [O] good [A] food
saul is the best restaurant on smith street and in brooklyn . [A] [O] [S]	[A] saul [O] best [S] good
saul is the best restaurant on smith street and in brooklyn . [O] [A] [S]	[O] best [A] saul [S] good
saul is the best restaurant on smith street and in brooklyn . [O] [S] [A]	[O] best [S] good [A] saul
saul is the best restaurant on smith street and in brooklyn . [A] [S] [O]	[A] saul [S] good [O] best
saul is the best restaurant on smith street and in brooklyn . [S] [O] [A]	[S] good [O] best [A] saul
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [O] [S]	[A] foie gras terrine with figs [O] out of this world [S] good [SSEP] [A] duck confit [O] amazing [S] good
