judging from previous posts this used to be a good place , but not any longer . [A] [O] [S] [C]	[A] place [O] not any longer [S] bad [C] restaurant general
judging from previous posts this used to be a good place , but not any longer . [A] [O] [C] [S]	[A] place [O] not any longer [C] restaurant general [S] bad
judging from previous posts this used to be a good place , but not any longer . [A] [S] [O] [C]	[A] place [S] bad [O] not any longer [C] restaurant general
judging from previous posts this used to be a good place , but not any longer . [O] [A] [C] [S]	[O] not any longer [A] place [C] restaurant general [S] bad
judging from previous posts this used to be a good place , but not any longer . [O] [A] [S] [C]	[O] not any longer [A] place [S] bad [C] restaurant general
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [O] [S] [C]	[A] staff [O] rude [S] bad [C] service general
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [O] [C] [S]	[A] staff [O] rude [C] service general [S] bad
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [A] [S] [O] [C]	[A] staff [S] bad [O] rude [C] service general
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [O] [A] [C] [S]	[O] rude [A] staff [C] service general [S] bad
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . [O] [A] [S] [C]	[O] rude [A] staff [S] bad [C] service general
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] service general
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . [A] [O] [C] [S]	[A] it [O] null [C] service general [S] bad
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] service general
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . [O] [A] [C] [S]	[O] null [A] it [C] service general [S] bad
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] service general
the food was lousy - too sweet or too salty and the portions tiny . [A] [O] [S] [C]	[A] food [O] lousy [S] bad [C] food quality [SSEP] [A] food [O] too sweet [S] bad [C] food quality [SSEP] [A] food [O] too salty [S] bad [C] food quality [SSEP] [A] portions [O] tiny [S] bad [C] food style_options
the food was lousy - too sweet or too salty and the portions tiny . [A] [O] [C] [S]	[A] food [O] lousy [C] food quality [S] bad [SSEP] [A] food [O] too sweet [C] food quality [S] bad [SSEP] [A] food [O] too salty [C] food quality [S] bad [SSEP] [A] portions [O] tiny [C] food style_options [S] bad
the food was lousy - too sweet or too salty and the portions tiny . [A] [S] [O] [C]	[A] food [S] bad [O] lousy [C] food quality [SSEP] [A] food [S] bad [O] too sweet [C] food quality [SSEP] [A] food [S] bad [O] too salty [C] food quality [SSEP] [A] portions [S] bad [O] tiny [C] food style_options
the food was lousy - too sweet or too salty and the portions tiny . [O] [A] [C] [S]	[O] lousy [A] food [C] food quality [S] bad [SSEP] [O] too sweet [A] food [C] food quality [S] bad [SSEP] [O] too salty [A] food [C] food quality [S] bad [SSEP] [O] tiny [A] portions [C] food style_options [S] bad
the food was lousy - too sweet or too salty and the portions tiny . [O] [A] [S] [C]	[O] lousy [A] food [S] bad [C] food quality [SSEP] [O] too sweet [A] food [S] bad [C] food quality [SSEP] [O] too salty [A] food [S] bad [C] food quality [SSEP] [O] tiny [A] portions [S] bad [C] food style_options
after all that , they complained to me about the small tip . [A] [O] [S] [C]	[A] it [O] complained [S] bad [C] service general
after all that , they complained to me about the small tip . [A] [O] [C] [S]	[A] it [O] complained [C] service general [S] bad
after all that , they complained to me about the small tip . [A] [S] [O] [C]	[A] it [S] bad [O] complained [C] service general
after all that , they complained to me about the small tip . [O] [A] [C] [S]	[O] complained [A] it [C] service general [S] bad
after all that , they complained to me about the small tip . [O] [A] [S] [C]	[O] complained [A] it [S] bad [C] service general
avoid this place ! [A] [O] [S] [C]	[A] place [O] avoid [S] bad [C] restaurant general
avoid this place ! [A] [O] [C] [S]	[A] place [O] avoid [C] restaurant general [S] bad
avoid this place ! [A] [S] [O] [C]	[A] place [S] bad [O] avoid [C] restaurant general
avoid this place ! [O] [A] [C] [S]	[O] avoid [A] place [C] restaurant general [S] bad
avoid this place ! [O] [A] [S] [C]	[O] avoid [A] place [S] bad [C] restaurant general
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [O] [S] [C]	[A] food [O] outrageously good [S] good [C] food quality
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [O] [C] [S]	[A] food [O] outrageously good [C] food quality [S] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [A] [S] [O] [C]	[A] food [S] good [O] outrageously good [C] food quality
i have eaten at saul , many times , the food is always consistently , outrageously good . [O] [A] [C] [S]	[O] outrageously good [A] food [C] food quality [S] good
i have eaten at saul , many times , the food is always consistently , outrageously good . [O] [A] [S] [C]	[O] outrageously good [A] food [S] good [C] food quality
saul is the best restaurant on smith street and in brooklyn . [A] [O] [S] [C]	[A] saul [O] best [S] good [C] restaurant general
saul is the best restaurant on smith street and in brooklyn . [A] [O] [C] [S]	[A] saul [O] best [C] restaurant general [S] good
saul is the best restaurant on smith street and in brooklyn . [A] [S] [O] [C]	[A] saul [S] good [O] best [C] restaurant general
saul is the best restaurant on smith street and in brooklyn . [O] [A] [C] [S]	[O] best [A] saul [C] restaurant general [S] good
saul is the best restaurant on smith street and in brooklyn . [O] [A] [S] [C]	[O] best [A] saul [S] good [C] restaurant general
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [O] [S] [C]	[A] foie gras terrine with figs [O] out of this world [S] good [C] food quality [SSEP] [A] duck confit [O] amazing [S] good [C] food quality
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [O] [C] [S]	[A] foie gras terrine with figs [O] out of this world [C] food quality [S] good [SSEP] [A] duck confit [O] amazing [C] food quality [S] good
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [A] [S] [O] [C]	[A] foie gras terrine with figs [S] good [O] out of this world [C] food quality [SSEP] [A] duck confit [S] good [O] amazing [C] food quality
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [O] [A] [C] [S]	[O] out of this world [A] foie gras terrine with figs [C] food quality [S] good [SSEP] [O] amazing [A] duck confit [C] food quality [S] good
the duck confit is always amazing and the foie gras terrine with figs was out of this world . [O] [A] [S] [C]	[O] out of this world [A] foie gras terrine with figs [S] good [C] food quality [SSEP] [O] amazing [A] duck confit [S] good [C] food quality
the wine list is interesting and has many good values . [A] [O] [S] [C]	[A] wine list [O] interesting [S] good [C] drinks style_options [SSEP] [A] wine list [O] good values [S] good [C] drinks prices
the wine list is interesting and has many good values . [A] [O] [C] [S]	[A] wine list [O] interesting [C] drinks style_options [S] good [SSEP] [A] wine list [O] good values [C] drinks prices [S] good
the wine list is interesting and has many good values . [A] [S] [O] [C]	[A] wine list [S] good [O] interesting [C] drinks style_options [SSEP] [A] wine list [S] good [O] good values [C] drinks prices
the wine list is interesting and has many good values . [O] [A] [C] [S]	[O] interesting [A] wine list [C] drinks style_options [S] good [SSEP] [O] good values [A] wine list [C] drinks prices [S] good
the wine list is interesting and has many good values . [O] [A] [S] [C]	[O] interesting [A] wine list [S] good [C] drinks style_options [SSEP] [O] good values [A] wine list [S] good [C] drinks prices
for the price , you can not eat this well in manhattan . [A] [O] [S] [C]	[A] it [O] well [S] good [C] restaurant prices [SSEP] [A] it [O] well [S] good [C] food quality
for the price , you can not eat this well in manhattan . [A] [O] [C] [S]	[A] it [O] well [C] restaurant prices [S] good [SSEP] [A] it [O] well [C] food quality [S] good
for the price , you can not eat this well in manhattan . [A] [S] [O] [C]	[A] it [S] good [O] well [C] restaurant prices [SSEP] [A] it [S] good [O] well [C] food quality
for the price , you can not eat this well in manhattan . [O] [A] [C] [S]	[O] well [A] it [C] restaurant prices [S] good [SSEP] [O] well [A] it [C] food quality [S] good
for the price , you can not eat this well in manhattan . [O] [A] [S] [C]	[O] well [A] it [S] good [C] restaurant prices [SSEP] [O] well [A] it [S] good [C] food quality
i was very disappointed with this restaurant . [A] [O] [S] [C]	[A] restaurant [O] disappointed [S] bad [C] restaurant general
i was very disappointed with this restaurant . [A] [O] [C] [S]	[A] restaurant [O] disappointed [C] restaurant general [S] bad
i was very disappointed with this restaurant . [A] [S] [O] [C]	[A] restaurant [S] bad [O] disappointed [C] restaurant general
i was very disappointed with this restaurant . [O] [A] [C] [S]	[O] disappointed [A] restaurant [C] restaurant general [S] bad
i was very disappointed with this restaurant . [O] [A] [S] [C]	[O] disappointed [A] restaurant [S] bad [C] restaurant general
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . [A] [O] [S] [C]	[A] cart attendant [O] null [S] bad [C] service general
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . [A] [O] [C] [S]	[A] cart attendant [O] null [C] service general [S] bad
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . [A] [S] [O] [C]	[A] cart attendant [S] bad [O] null [C] service general
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . [O] [A] [C] [S]	[O] null [A] cart attendant [C] service general [S] bad
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . [O] [A] [S] [C]	[O] null [A] cart attendant [S] bad [C] service general
i had to ask her three times before she finally came back with the dish ive requested . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] service general
i had to ask her three times before she finally came back with the dish ive requested . [A] [O] [C] [S]	[A] it [O] null [C] service general [S] bad
i had to ask her three times before she finally came back with the dish ive requested . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] service general
i had to ask her three times before she finally came back with the dish ive requested . [O] [A] [C] [S]	[O] null [A] it [C] service general [S] bad
i had to ask her three times before she finally came back with the dish ive requested . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] service general
food was okay , nothing great . [A] [O] [S] [C]	[A] food [O] okay [S] ok [C] food quality [SSEP] [A] food [O] nothing great [S] ok [C] food quality
food was okay , nothing great . [A] [O] [C] [S]	[A] food [O] okay [C] food quality [S] ok [SSEP] [A] food [O] nothing great [C] food quality [S] ok
food was okay , nothing great . [A] [S] [O] [C]	[A] food [S] ok [O] okay [C] food quality [SSEP] [A] food [S] ok [O] nothing great [C] food quality
food was okay , nothing great . [O] [A] [C] [S]	[O] okay [A] food [C] food quality [S] ok [SSEP] [O] nothing great [A] food [C] food quality [S] ok
food was okay , nothing great . [O] [A] [S] [C]	[O] okay [A] food [S] ok [C] food quality [SSEP] [O] nothing great [A] food [S] ok [C] food quality
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [O] [S] [C]	[A] chow fun [O] dry [S] bad [C] food quality [SSEP] [A] pork shu mai [O] greasy [S] bad [C] food quality [SSEP] [A] it [O] loud [S] bad [C] ambience general [SSEP] [A] it [O] rude [S] bad [C] ambience general
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [O] [C] [S]	[A] chow fun [O] dry [C] food quality [S] bad [SSEP] [A] pork shu mai [O] greasy [C] food quality [S] bad [SSEP] [A] it [O] loud [C] ambience general [S] bad [SSEP] [A] it [O] rude [C] ambience general [S] bad
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [A] [S] [O] [C]	[A] chow fun [S] bad [O] dry [C] food quality [SSEP] [A] pork shu mai [S] bad [O] greasy [C] food quality [SSEP] [A] it [S] bad [O] loud [C] ambience general [SSEP] [A] it [S] bad [O] rude [C] ambience general
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [O] [A] [C] [S]	[O] dry [A] chow fun [C] food quality [S] bad [SSEP] [O] greasy [A] pork shu mai [C] food quality [S] bad [SSEP] [O] loud [A] it [C] ambience general [S] bad [SSEP] [O] rude [A] it [C] ambience general [S] bad
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . [O] [A] [S] [C]	[O] dry [A] chow fun [S] bad [C] food quality [SSEP] [O] greasy [A] pork shu mai [S] bad [C] food quality [SSEP] [O] loud [A] it [S] bad [C] ambience general [SSEP] [O] rude [A] it [S] bad [C] ambience general
i / we will never go back to this place again . [A] [O] [S] [C]	[A] place [O] never go back [S] bad [C] restaurant general
i / we will never go back to this place again . [A] [O] [C] [S]	[A] place [O] never go back [C] restaurant general [S] bad
i / we will never go back to this place again . [A] [S] [O] [C]	[A] place [S] bad [O] never go back [C] restaurant general
i / we will never go back to this place again . [O] [A] [C] [S]	[O] never go back [A] place [C] restaurant general [S] bad
i / we will never go back to this place again . [O] [A] [S] [C]	[O] never go back [A] place [S] bad [C] restaurant general
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great ! [A] [O] [S] [C]	[A] fish [O] great [S] good [C] restaurant general [SSEP] [A] it [O] glad [S] good [C] restaurant general
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great ! [A] [O] [C] [S]	[A] fish [O] great [C] restaurant general [S] good [SSEP] [A] it [O] glad [C] restaurant general [S] good
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great ! [A] [S] [O] [C]	[A] fish [S] good [O] great [C] restaurant general [SSEP] [A] it [S] good [O] glad [C] restaurant general
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great ! [O] [A] [C] [S]	[O] great [A] fish [C] restaurant general [S] good [SSEP] [O] glad [A] it [C] restaurant general [S] good
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great ! [O] [A] [S] [C]	[O] great [A] fish [S] good [C] restaurant general [SSEP] [O] glad [A] it [S] good [C] restaurant general
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! ! [A] [O] [S] [C]	[A] service [O] devine [S] good [C] service general [SSEP] [A] oysters [O] sensual [S] good [C] food quality [SSEP] [A] it [O] null [S] good [C] restaurant prices
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! ! [A] [O] [C] [S]	[A] service [O] devine [C] service general [S] good [SSEP] [A] oysters [O] sensual [C] food quality [S] good [SSEP] [A] it [O] null [C] restaurant prices [S] good
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! ! [A] [S] [O] [C]	[A] service [S] good [O] devine [C] service general [SSEP] [A] oysters [S] good [O] sensual [C] food quality [SSEP] [A] it [S] good [O] null [C] restaurant prices
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! ! [O] [A] [C] [S]	[O] devine [A] service [C] service general [S] good [SSEP] [O] sensual [A] oysters [C] food quality [S] good [SSEP] [O] null [A] it [C] restaurant prices [S] good
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! ! [O] [A] [S] [C]	[O] devine [A] service [S] good [C] service general [SSEP] [O] sensual [A] oysters [S] good [C] food quality [SSEP] [O] null [A] it [S] good [C] restaurant prices
you ca n ' t go wrong here . [A] [O] [S] [C]	[A] it [O] null [S] good [C] restaurant general
you ca n ' t go wrong here . [A] [O] [C] [S]	[A] it [O] null [C] restaurant general [S] good
you ca n ' t go wrong here . [A] [S] [O] [C]	[A] it [S] good [O] null [C] restaurant general
you ca n ' t go wrong here . [O] [A] [C] [S]	[O] null [A] it [C] restaurant general [S] good
you ca n ' t go wrong here . [O] [A] [S] [C]	[O] null [A] it [S] good [C] restaurant general
every time in new york i make it a point to visit restaurant saul on smith street . [A] [O] [S] [C]	[A] restaurant saul [O] null [S] good [C] restaurant general
every time in new york i make it a point to visit restaurant saul on smith street . [A] [O] [C] [S]	[A] restaurant saul [O] null [C] restaurant general [S] good
every time in new york i make it a point to visit restaurant saul on smith street . [A] [S] [O] [C]	[A] restaurant saul [S] good [O] null [C] restaurant general
every time in new york i make it a point to visit restaurant saul on smith street . [O] [A] [C] [S]	[O] null [A] restaurant saul [C] restaurant general [S] good
every time in new york i make it a point to visit restaurant saul on smith street . [O] [A] [S] [C]	[O] null [A] restaurant saul [S] good [C] restaurant general
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [O] [S] [C]	[A] service [O] excellent [S] good [C] service general [SSEP] [A] decor [O] cool [S] good [C] ambience general [SSEP] [A] decor [O] understated [S] good [C] ambience general [SSEP] [A] it [O] perfection [S] good [C] food quality
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [O] [C] [S]	[A] service [O] excellent [C] service general [S] good [SSEP] [A] decor [O] cool [C] ambience general [S] good [SSEP] [A] decor [O] understated [C] ambience general [S] good [SSEP] [A] it [O] perfection [C] food quality [S] good
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [A] [S] [O] [C]	[A] service [S] good [O] excellent [C] service general [SSEP] [A] decor [S] good [O] cool [C] ambience general [SSEP] [A] decor [S] good [O] understated [C] ambience general [SSEP] [A] it [S] good [O] perfection [C] food quality
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [O] [A] [C] [S]	[O] excellent [A] service [C] service general [S] good [SSEP] [O] cool [A] decor [C] ambience general [S] good [SSEP] [O] understated [A] decor [C] ambience general [S] good [SSEP] [O] perfection [A] it [C] food quality [S] good
everything is always cooked to perfection , the service is excellent , the decor cool and understated . [O] [A] [S] [C]	[O] excellent [A] service [S] good [C] service general [SSEP] [O] cool [A] decor [S] good [C] ambience general [SSEP] [O] understated [A] decor [S] good [C] ambience general [SSEP] [O] perfection [A] it [S] good [C] food quality
i had the duck breast special on my last visit and it was incredible . [A] [O] [S] [C]	[A] duck breast special [O] incredible [S] good [C] food quality
i had the duck breast special on my last visit and it was incredible . [A] [O] [C] [S]	[A] duck breast special [O] incredible [C] food quality [S] good
i had the duck breast special on my last visit and it was incredible . [A] [S] [O] [C]	[A] duck breast special [S] good [O] incredible [C] food quality
i had the duck breast special on my last visit and it was incredible . [O] [A] [C] [S]	[O] incredible [A] duck breast special [C] food quality [S] good
i had the duck breast special on my last visit and it was incredible . [O] [A] [S] [C]	[O] incredible [A] duck breast special [S] good [C] food quality
and i hate to say this but i doubt i ' ll ever go back . [A] [O] [S] [C]	[A] it [O] doubt [S] bad [C] restaurant general
and i hate to say this but i doubt i ' ll ever go back . [A] [O] [C] [S]	[A] it [O] doubt [C] restaurant general [S] bad
and i hate to say this but i doubt i ' ll ever go back . [A] [S] [O] [C]	[A] it [S] bad [O] doubt [C] restaurant general
and i hate to say this but i doubt i ' ll ever go back . [O] [A] [C] [S]	[O] doubt [A] it [C] restaurant general [S] bad
and i hate to say this but i doubt i ' ll ever go back . [O] [A] [S] [C]	[O] doubt [A] it [S] bad [C] restaurant general
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . [A] [O] [S] [C]	[A] food [O] average [S] bad [C] food quality [SSEP] [A] thai fusion stuff [O] too sweet [S] bad [C] food quality [SSEP] [A] it [O] too sweet [S] bad [C] food quality
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . [A] [O] [C] [S]	[A] food [O] average [C] food quality [S] bad [SSEP] [A] thai fusion stuff [O] too sweet [C] food quality [S] bad [SSEP] [A] it [O] too sweet [C] food quality [S] bad
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . [A] [S] [O] [C]	[A] food [S] bad [O] average [C] food quality [SSEP] [A] thai fusion stuff [S] bad [O] too sweet [C] food quality [SSEP] [A] it [S] bad [O] too sweet [C] food quality
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . [O] [A] [C] [S]	[O] average [A] food [C] food quality [S] bad [SSEP] [O] too sweet [A] thai fusion stuff [C] food quality [S] bad [SSEP] [O] too sweet [A] it [C] food quality [S] bad
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here . [O] [A] [S] [C]	[O] average [A] food [S] bad [C] food quality [SSEP] [O] too sweet [A] thai fusion stuff [S] bad [C] food quality [SSEP] [O] too sweet [A] it [S] bad [C] food quality
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [O] [S] [C]	[A] grilled chicken special with edamame puree [O] enjoyed [S] good [C] food quality
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [O] [C] [S]	[A] grilled chicken special with edamame puree [O] enjoyed [C] food quality [S] good
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [A] [S] [O] [C]	[A] grilled chicken special with edamame puree [S] good [O] enjoyed [C] food quality
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [O] [A] [C] [S]	[O] enjoyed [A] grilled chicken special with edamame puree [C] food quality [S] good
the only thing i moderately enjoyed was their grilled chicken special with edamame puree . [O] [A] [S] [C]	[O] enjoyed [A] grilled chicken special with edamame puree [S] good [C] food quality
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) . [A] [O] [S] [C]	[A] edamame pureed [O] tasty [S] good [C] food quality [SSEP] [A] edamame pureed [O] innovative [S] good [C] food style_options
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) . [A] [O] [C] [S]	[A] edamame pureed [O] tasty [C] food quality [S] good [SSEP] [A] edamame pureed [O] innovative [C] food style_options [S] good
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) . [A] [S] [O] [C]	[A] edamame pureed [S] good [O] tasty [C] food quality [SSEP] [A] edamame pureed [S] good [O] innovative [C] food style_options
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) . [O] [A] [C] [S]	[O] tasty [A] edamame pureed [C] food quality [S] good [SSEP] [O] innovative [A] edamame pureed [C] food style_options [S] good
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) . [O] [A] [S] [C]	[O] tasty [A] edamame pureed [S] good [C] food quality [SSEP] [O] innovative [A] edamame pureed [S] good [C] food style_options
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern . [A] [O] [S] [C]	[A] place [O] sleek [S] bad [C] ambience general [SSEP] [A] place [O] modern [S] bad [C] ambience general [SSEP] [A] decor [O] night [S] good [C] ambience general [SSEP] [A] vent [O] un - appetizing [S] bad [C] ambience general
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern . [A] [O] [C] [S]	[A] place [O] sleek [C] ambience general [S] bad [SSEP] [A] place [O] modern [C] ambience general [S] bad [SSEP] [A] decor [O] night [C] ambience general [S] good [SSEP] [A] vent [O] un - appetizing [C] ambience general [S] bad
